dateupdated,shoe_type,season,n
2016-01-02T03:14:34Z,Boot,Winter,2
2016-01-02T03:14:34Z,Boot,Winter,2
2016-01-02T03:26:34Z,Shoe,Winter,2
2016-01-02T03:26:34Z,Shoe,Winter,2
2016-01-03T01:43:23Z,Shoe,Winter,3
2016-01-03T01:43:23Z,Shoe,Winter,3
2016-01-03T01:43:23Z,Shoe,Winter,3
2016-01-15T18:08:52Z,Oxford,Winter,2
2016-01-15T18:08:52Z,Oxford,Winter,2
2016-01-15T21:20:34Z,Canvas,Winter,2
2016-01-15T21:20:34Z,Canvas,Winter,2
2016-01-15T21:20:42Z,Canvas,Winter,2
2016-01-15T21:20:42Z,Canvas,Winter,2
2016-01-15T21:41:05Z,Oxford,Winter,1
2016-01-15T22:10:04Z,Shoe,Winter,1
2016-01-15T22:16:24Z,Shoe,Winter,2
2016-01-15T22:16:24Z,Shoe,Winter,2
2016-01-17T02:49:12Z,Shoe,Winter,1
2016-01-17T02:53:32Z,Shoe,Winter,1
2016-01-17T20:08:35Z,Shoe,Winter,1
2016-01-17T20:27:04Z,Shoe,Winter,1
2016-01-17T20:38:20Z,Shoe,Winter,1
2016-01-20T09:49:40Z,Shoe,Winter,2
2016-01-20T09:49:40Z,Shoe,Winter,2
2016-01-20T12:20:06Z,Boot,Winter,2
2016-01-20T12:20:06Z,Boot,Winter,2
2016-01-21T23:40:25Z,Shoe,Winter,2
2016-01-21T23:40:25Z,Shoe,Winter,2
2016-01-26T03:08:25Z,Shoe,Winter,1
2016-01-26T04:11:44Z,Shoe,Winter,1
2016-01-26T09:44:25Z,Shoe,Winter,1
2016-01-26T09:44:46Z,Shoe,Winter,1
2016-01-26T09:51:57Z,Shoe,Winter,1
2016-01-26T09:53:53Z,Shoe,Winter,1
2016-01-26T14:46:44Z,Boot,Winter,1
2016-01-26T14:48:28Z,Shoe,Winter,1
2016-01-26T14:49:54Z,Shoe,Winter,1
2016-01-26T14:58:36Z,Shoe,Winter,1
2016-01-26T14:59:12Z,Shoe,Winter,1
